RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            8     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.604D+00  3.292D+03
    1    3     1     0  ---    1  1.1D-03  8.6D-03  2.241D+00  3.292D+03
    2    4     0     0  con    0  1.0D+00  4.2D-03  1.936D+00  3.292D+03
    3    5     0     0  con    0  1.0D+00  2.2D-02  1.020D+00  3.292D+03
    4    6     0     0  con    0  1.0D+00  1.1D-02  7.050D-01  3.292D+03
    5    7     0     0  con    0  1.0D+00  3.4D-03  2.877D-01  3.292D+03
    6    8     0     0  con    0  1.0D+00  1.7D-03  3.187D-01  3.292D+03
    7    9     0     0  con    0  1.0D+00  5.2D-03  1.170D-01  3.292D+03
    8   10     0     0  con    0  1.0D+00  1.5D-03  3.151D-02  3.292D+03
    9   11     0     0  con    0  1.0D+00  6.3D-04  2.137D-02  3.292D+03
   10   12     0     0  con    0  1.0D+00  1.3D-04  8.959D-03  3.292D+03
   11   13     0     0  con    0  1.0D+00  5.4D-05  1.000D-03  3.292D+03
   12   14     0     0  con    0  1.0D+00  7.4D-06  1.228D-03  3.292D+03
   13   15     0     0  con    0  1.0D+00  1.8D-05  1.592D-03  3.292D+03
   14   16     0     0  con    0  1.0D+00  2.2D-05  1.455D-03  3.292D+03
   15   17     0     0  con    0  1.0D+00  3.6D-05  1.137D-03  3.292D+03
   16   18     0     0  con    0  1.0D+00  1.2D-05  8.185D-04  3.292D+03
   17   19     0     0  con    0  1.0D+00  7.4D-06  1.819D-04  3.292D+03
   18   20     0     0  con    0  1.0D+00  1.9D-06  2.728D-04  3.292D+03
   19   22     0     0  con    1  7.0D-02  3.6D-06  4.547D-04  3.292D+03
   20   23     0     0  con    0  1.0D+00  2.9D-06  4.093D-04  3.292D+03
   21   24     0     0  con    0  1.0D+00  6.3D-06  3.638D-04  3.292D+03
   22   25     0     0  con    0  1.0D+00  3.8D-06  5.457D-04  3.292D+03
   23   26     0     0  con    0  1.0D+00  6.1D-06  5.912D-04  3.292D+03
   24   28     0     0  con    1  5.0D-01  1.9D-05  3.638D-04  3.292D+03
   25   29     0     0  con    0  1.0D+00  1.3D-05  5.457D-04  3.292D+03
   26   30     0     0  con    0  1.0D+00  1.8D-05  6.366D-04  3.292D+03
   27   31     0     0  con    0  1.0D+00  2.5D-04  1.501D-03  3.292D+03
   28   33     0     0  con    1  5.0D+00  3.8D-04  2.319D-03  3.292D+03
   29   34     0     0  con    0  1.0D+00  1.6D-04  2.365D-03  3.292D+03
   30   35     0     0  con    0  1.0D+00  4.2D-05  2.592D-03  3.292D+03
   31   36     0     0  con    0  1.0D+00  1.0D-03  3.274D-03  3.292D+03
   32   37     0     0  con    0  1.0D+00  2.4D-03  5.184D-03  3.292D+03
   33   38     0     0  con    0  1.0D+00  5.3D-03  6.185D-03  3.292D+03
   34   40     0     0  con    1  4.3D-01  5.6D-03  5.048D-03  3.292D+03
   35   41     0     0  con    0  1.0D+00  5.7D-03  2.592D-03  3.292D+03
   36   42     0     0  con    0  1.0D+00  4.5D-04  1.410D-03  3.292D+03
   37   44     0     0  con    1  1.9D-01  7.6D-04  7.276D-04  3.292D+03
   38   48     0     0  con    3  4.9D-01  8.6D-04  1.182D-03  3.292D+03
   39   49     0     0  con    0  1.0D+00  3.9D-05  3.638D-04  3.292D+03
   40   50     0     0  con    0  1.0D+00  2.3D-05  9.095D-05  3.292D+03
   41   51     0     0  con    0  1.0D+00  5.6D-06  9.095D-05  3.292D+03
   42   54     0     0  con    2  5.2D-02  1.4D-06  4.547D-05  3.292D+03

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 6.933E+00 seconds.

